1|Further Backgrounding|General|Adventurer|A: Add 2 total points to your backgrounds, or 2 new points of backgrounds.
2|Further Backgrounding|General|Champion|C: Add 3 total points to your backgrounds, or 3 new points of backgrounds.
3|Further Backgrounding|General|Epic|E: Add 2 total points to your backgrounds, or 2 new points of backgrounds. You can raise one background to 7.
4|Imp. Initiative|General|Adventurer|A: +4 to initiative checks.
5|Linguist|General|Adventurer|A: Speak all normal humanoid languages well enough.
6|Linguist|General|Champion|C: Speak, read, and write normal languages fluently; and speak bizarre languages no one else can deal with.
7|Precise Shot|General|Adventurer|A: Ranged attacks won’t hit engaged allies.
8|Rapid Reload|General|Adventurer|A: Quick action to reload heavy crossbow; free action to reload light or hand crossbow.
9|Reach Tricks|General|Adventurer|A: Once per battle, use a reach weapon in a special way.
10|Ritual Casting|General|Adventurer|A: Cast spells you know as rituals.
11|Skill Escalation|General|Adventurer|A: Add the escalation die to your skill checks after seeing roll; 2/day.
12|Strong Recovery|General|Adventurer|A: Reroll one die when rolling recovery dice. At 5th level, reroll 2 dice. At 8th level, reroll three dice.
13|Toughness|General|Adventurer|A: Gain bonus hp equal to half your class baseline hp; improves at 5th and 8th level.
14|Cruel|Dark Elf|Champion|C: Once per day, use cruel to deal 5 ongoing damage per level against a target you miss or you roll a natural odd attack roll against (even a 1).
15|Breath Weapon|Dragonic|Champion|C: Breath weapon now targets 1d3 enemies in a nearby group.
16|That’s Your Best Shot?|Dwarf|Champion|C: If escalation die is 2+, the best shot recovery is free.
17|Heritage of the Sword|Elf|Adventurer|A: Use d6 and d8 swords without penalties; or if already able to use such swords without penalties, +2 melee damage.
18|Confounding|Gnome|Champion|C: Target of confounding is weakened instead of dazed.
19|Surprising|Half-Elf|Champion|C: Use surprising an extra time, but only to change a nearby ally’s d20 roll.
20|Evasive|Halfling|Champion|C: The foe’s reroll when you use evasive takes a –5 penalty.
21|Lethal|Half-Orc|Champion|C: If lethal attack reroll is 16+, use lethal again that battle.
22|Highblood Teleport|High Elf|Champion|C: When you teleport, deal damage equal to twice your level to engaged enemy.
23|Halo|Holy One|Champion|C: Halo now activates whenever you heal using a recovery.
24|Quick to Fight|Human|Champion|C: Increase escalation die by +1 when you roll natural 19 or 20 for initiative.
25|Never Say Die|Forgeborn|Champion|C: When you roll 16+ on your never say die save, take an extra standard action next turn.
